User;opinionText
Sukhriatun Rudiah;Dengan adanya webminar menurut saya mendapatkan dampak positif serta sebagai media untuk belajar serta menambah wawasan serta relasi. 
Lu'lu Al-Maknun Musytari ;Dengan adanya webminar menurut saya mendapatkan dampak positif serta sebagai media untuk belajar serta menambah wawasan serta relasi. 
Andi Nurfadillah Ali;Ya
Makhdaniar Madhani At thaharah;Kurang efisien
Syamsuddin;Jika berbicara tentang dampak baiknya pasti ada. Pelatihan/webinar bagus untuk mengisi kekosongan waktu kita di masa pandemi. 
Desmah Fajriani;menurut saya kurang efektif karena jika mengikuti webinar apalagi yang menuntut harus praktek maka hal ini tidak sesuai apabila dilakukan secara daring
Titi ayu astuti;menurut saya iya, karena bagi sebagian orang yang mengalami kendala pada jaringan, akah tertinggal sehingga menghambat seseorang tersebut melangkah ke tahap selanjutnya.
Muh. Arham;Kami tidak mendapatkan pelatihan apapun
Nuha Hanifatul Khonsa';Tidak sama sekali
Fitri cahaya;menurut saya sangatlah berdampak 
Gany Berdu Sura;Dampak yang ditimbulkan tidak terlalu signifikan
Kamaruddin. H;Webiner yang dilakukan secara online memang sangat mempermudah karena banyak yang ingin ikut tetapi mungkin kesusahan dalam beberapa hal sehingga webinar online menjadi solusi yang baik untuk bisa mengikuti nya
Dina Soraya Fauziah;Kurang, cenderung monoton
Chandra Kirana Poetra;Sangat membantu
Kaka Kamaludin;Kurang memberikan tambahan ilmu
Ilham Muhammad Ariq;Tidak memberikan dampak
Putri Nella;Dikala pandemi ini, tentunya webinar memberikan manfaat yang besar untuk menimba ilmu dengan cara yang aman
Ida fatrini putri;Tidak
hanfi hermawan;Untuk menjaga protokol saat ini memberikan dampak baik dan dapat dilakukan dengan saat mudah
Bakti Qilan Mufid;Tidak
Zavira Nurfalita;Menurut saya cukup baik untuk membantu pembelajaran online
Murnia Lestari;ya pastinya jadi solusi
Fatmawati;Ya bisa membantu.
Fitria Dwi Ningsih;Menurut saya, memberi dampak dikarenakan jaringan yang kadang kurang mendukung kita lebih susah memahami pembahasan yang ada dalam webinar atau pelatihan tersebut.
Dyning Aida Batrishya;Ya,cukup
Sitti Arabia;Setuju...sangat berdampak.
A. Meriam Residen;Iya, contohnya yaitu dpaat mengikuti macam2 webinar dengan pemateri yang bagus-bagus tanpa datang ke tempat. 
Kasmawati Zainuddin;kurang berdampak, karena menurut saya kebanyakan fokus peserta terhadap kegiatan secara online kurang dan tidak bisa terlalu dipantau karena ada faktor-faktor lain
Zakiyah;Iya
Nurul Maghfirah Aras;Bagi mahasiswa/siswa yang memang tertarik mengikuti kegiatan tersebut pasti memberikan dampak baik bagi pembelajaran jarak jauh tetapi bagi yang sebaliknya pasti tidak memberikan dampak apa-apa. Kembali lagi kepada pribadi masing-masing seseorang
Nurul wafika;Memberi dampak tapi tidak signifikan
Fahira, S.Pd;Ya memberikan, mudah untuk d akses dimana saja dan kapan saja 
A.IDHAM FITRAH AL MADANI;Ya cukup lumayan
A. Mukramin Yusuf;Iya,karena kita mendapatkan informasi yang lebih banyak lagi
Rezky Ananda;Sangat membantu memberikan pedoman mengajar secara online, memberikan metode mengajar secara daring dengan memanfaatkan beberapa aplikasi pembelajaran online. Namun, tetap saja dalam penerapannya masih ada saja beberapa peserta didik yang tidak terjangkau karena beberapa alasan.
Nurul A’in ;tidak
Nur Hikma;webinar sedikit membantu jika dengan memanfaatkan media perekaman, bisa dinonton kapanpun sesuai waktu yang tepat
Andi Muh Fauzan Razak;Sangat memberi dampak, terlebih lagi webinar yang dilakukan sangat beragam tidak hanya terpaku seputar mata kuliah atau mata pelajaran
Andi Indri Pratiwi;Webinar sangat membantu dalam masa pandemi.Selain menambah wawasan,hal itu juga dapat mengisi waktu kosong kita menjadi pebih bermanfaat.
Nurul Fitri;Ya, pelaksanan webinar atau pelatihan yang dilakukan selama masa pandemi memiliki dampak yang baik dalam proses pembelajaran jarak jauh
Anissatul Muazzirah;Cukup baik, paling tidak ada pengetahuan yang bisa di ambil walaupun tidak lebih baik dari tatap muka langsung. 
Sitti Aisyah;Sangat memberi dampak pada proses pembelajaran jarak jauh
Habib Abdul Rasyid;Tergantung webinar yang diikuti anak tersebut
Janjalaneh;Ya
Nurul Istikhomah;Tidak
MUH. RUSMAN;Dampaknya tidak terlalu signifikan
Biutipul;Enak tidak perlu pigi jauh
Suciyani;Ya
Ainun Nurul Asa;Iya, sangat berdampak
Annisa muliani ilmi;yah tergantung dari pribadi masing masing bagaimana mereka menerima dan memahami bagaimana pembelajaran jarak jauh ini dijalankan
A. St. Ardiyanti Umar;Mungkin dalam hal materi sudah cukup, namun dalam penerapakannta akan kurang karena tidak di dapatkan secara langsung
Aya;Webinar dan pelatihan cukup membantu, tetapi saya lebih setuju untuk proses pembelajaran offline
Difa Al Fansha;iya, karena bertambahnya pengetahuan kita karena dilihat masa sekarang, kita biasa kurang mengerti apa yang di jelaskan oleh pengajar
Aulyardha Anindita ;Sangat berdampak, karena tanpa tatap muka secara langsung kita tetap dapat melaksanakan kegiatan pembelajaran dan mengajak kita untuk mengetahui dan menggunakan fasilitas (IT) yang sebelumnya sangat jarang digunakan.
Kasdiana;Iya
Liyana majdah rahma;Yupss, menambah wawasan saya
Nur Aina;Ya, dengan adanya Webinar bisa menambah pengetahuan baru, di masa pandemi ini alhamdulillah sangat banyak Webinar2 yang dibuka secara gratis dan itu bisa kita manfaatkan sebaik baiknya
Ifan wahyudi;Iya
Agus Paturohman;Untuk webinar sangat membantu tetapi untuk informasi webinar kadang tidak sesuai dengan jadwal
Tita Puspita;Memberi dampak. Bisa mendengar dengan jelas materi. Hanya biasa menjadi persoalan yaitu, jaringan yang kurang mendukung atau karena banyaknya peserta, kurang interaksi secara langsung dengan pemateri jika ada yang ingin ditanyakan.
Atti S;Tidak
Imam muslimin;Ya
SANIB;Iya....sangat bermanfaat sekali
Wirda Nengsi,S.Pd;sangat
Indah Sari;Karena keadaan, pembelajaran masih banyak yang kurang, jadi pembelajaran online lebih baik daripada tida ada sama sekali.
A.Aida Wulandari Putri ;Ya, memberikan dampak yang sangat baik
Andi Nadhyatul Hidayah;Pendapat saya tentang webinar belum memberikan dampak yang signifikan dalam proses pembelajaran, terutama untuk sekolah yang masih memiliki keterbatasan akses internet. Sebagai pengajar, tentunya kita mengharapkan proses pembelajaran yang normal seperti sebelumnya.
Nurul Hidayah Alimuddin ;-
Arjun Yuda Firwanda;Kurang berdampak sih.
Harun Ar - Rasyid;Menurut saya tidak berdampak, karena saya termasuk salah satu orang yang akan lebih mengerti dan tertarik akan sesuatu hal jika dilakukan dengan tatap muka. 
Sri Rahayu;Alhamdulillah cukup membantu. 
Damara Benedikta ;Memberikan dampak selain belajar secara mandiri
Evietania;sedikit
Muhammad Fahmi;Iya 
Faisal Najib Abdullah;iya, karena disamping kita memperoleh materi dari dosen kita juga mendapatkan tambahan ilmu dari webinar yang kita ikuti
Nia zuliana;Ini keren sih, selain nambah skill  jg nambah wawasan
Eka Nuraini;Sangat memberi dampak baik
Naila Rahma Fitri;Menambah pengetahuan yang belum di ketahui
Muhammad Adham Malik;-
NURSYAFIKAH;Menurut pendapat saya dengan adanya webinar dan pelatihan itu cukup membantu 
Andi Tenri Rahayu Asri;Iya
Oktaviana Nurul Khoiriah;Cukup memberikan dampak meskipun selalu ada sedikit gangguan
Murafiqah ramadhani;Ya
Ira Dwita Syafitri Tarigan;Tidak terlalu
Reski Amalia;Tidak sama sekali dan itu membuat orang diluar sana jadi faham tentang apa yang disampaikan
Maria Ulfa;Ya,karna dilaksanakan nya dengan online buka bertatap muka
Nur aulia syahbani ;Memiliki dampak seperti mendapat pemahaman dari materi yang dipaparkan 
Ayu Wahyuni;Berdampak sekali bagi org yang ingin menambah wawasan selama pandemi
Andi Nur Ihsan Bahri;Belum pernah mengikuti
ahmad farid;Sangat baik karena memberikan banyak motovasi 
Adie Wirahardi Kusuma;Belum pasti
Bahtiar;Cukup , Lebih baik Ketika Offline
Ibnu Bathutah;iyaa, karena hal tersebut. menambah kualitas kita selama pandemic
Dewi Gustini;Tentu saja, mengingat kondisi pandemi saat ini dimana pendidik sangat memerlukan amunisi untuk berinovasi dan juga meningkatkan TPACK nya dalam melakukan proses pembelajaran jarak jauh.
Endang Lestari;ya
Juni Srikuswati ;Sangat membantu dalam medapatkan cara atau teknik-teknik pembelajaran jarak jauh yang baik
Wulan Novitasari;Sangat membantu mendapatkan materi pembelajaran atau pelatihan tanpa harus datang ke lokasi atau secara tatap muka
Siti Masruroh;Ada namun terhambat pada realisasinya karena setiap orang akan berbeda motivasi setiap audiens
Dini Permata Putri;Iya sangat berpengaruh karena ilmunya bisa langsung kita praktekkan dalam pembelajaran 
Ahmad Syahroni;Menurut saya memberikan 
Yohanes Sigit Untoro;Ditempat saya bekerja pembelajaran jarak jauh tidak bisa berjalan sebagaimana mestinya
Fauzan;tidak terlalu
nayah anjani;tidak terlalu 
ERNI MARYANI, S.Pd;kadang banyak yang tidak di terapkan 
Soleh;?
Sopiah;pastinya sangat memiliki dampak positif namun suasana yang berbeda sehingga kurang menarik dari seminar pada umumnya
Fatoni Kabir;Memberi dampak positif karena pembelajaran harus dilakukan secara PJJ, kita dapat menambah ilmu agar pembelajaran online bisa maksimal
Desi Ayu Ramadhan;Webinar dapat memberi dampak baik bagi guru dalam pembelajaran jarak jauh
Asrini Salsabila Putri;Iya berdampak baik
Nisrina Salsabila ;Memberikan dampak positif karena kita bisa menambah pengetahuan tanpa harus tatap muka
Alin Natusaripah;Pendapat saya tentang webinar atau pelatihan ini dampaknya cukup baik namun masih kurang efektif untuk proses pembelajaran jarak jauh.
Millati Haniefa Nurkamila;Iya
Udho ganteng;Cukup berguna 
Nuril Kartika Rahmawati ;Sangat memberikan pengaruh baik, dimana banyak orang yang join webinar online dibandingkan tatap muka langsung, karena dari segi hemat dan juga tidak membuang waktu cukup banyak
Cindy Callysta;Kurang tahu
Aini Zahra;kembali ke pribadi masing-masing 
Medina;Iya, webminar cukup memudahkan bagi kalangan yang tertarik pada suatu topik tetapi berada di domisili yang jauh dari penyelenggaraannya
Digma Heldy Pratama;Cukup membantu bagi saya.
Milena;Adanya webinar pada saat pandemi membantu sekali karena dapat dilakukan dari rumah dengan memanfaatkan waktu.
Muthmainnah Nur;Bagus nambah pengetahuan dan ilmu bgt itu. Berguna untuk nanti kerja
Dewi F.F.;Sangat memberikan manfaat yang luar biasa bagi orang yang perlu ilmut tersebut
Ravenska Vania;Saya jarang mengikuti webinar dsb karena tidak ada kaitannya dengan proses belajar di kelas
dewi robin pramary;iya
mega purwati;sangat bagus, saya pribadi sudah banyak mengisi waktu untuk mengikuti webinar bahkan pelatihan, kita dapat menambah ilmu baru yang tidak didapatkan di kuliah
HERLINA DWI KARTIKASARI;webinar PJJ cukup memebrikan refleksi dan ide ide baru mengenai pembelajaran daring, namun tetap memerlukan waktu untuk terlaksananya ide ide menarik tersebut dengan sangat baik
amanda;tidak
Zahrah Tsania;ya, karena menambah ilmu dan skill.
Dea;Sedikit ada dampak
Salsabela;untuk webinar menurut saya kurang penting
Sindhu Wijaya Mulyo Nugroho;Menurut saya cukup membantu, karena saya pribadi sering merasa malas apabila menghadiri seminar offline. 
Imelia Nurlaila;Ya, cukup memberikan.
zahra chairunnisa wihajaya;Ya, karena webinar banyak dilaksanakan secara gratis, dengan topik yang sangat beragam sehingga banyak pilihan tema sesuai minat masing-masing. Pelaksanaan secara online juga mempermudah audience karena tidak perlu mendatangi venue.
Andin;tidak, apabila saya menempatkan diri pada peserta webinar, isi webinar yang mana hanyalah penyampaian yang cenderung kurang menarik dan membosankan yang membuat kita menyibukkan diri dengan hal lain yang membuat kita tidak memperhatikan inti dari Webinar tersebut
Faradina;lumayan memberikan dampak, masuk engganya materinya tergantung si peserta serius nyimak atau cuman demi e-sertifikat
Latanza Delia Choirunnisa;iya
Widadri Ailin;Iya
Bulqiah Jagad Mauladan;ya
Shafira Desy Ayu Al - Fikri;Sangat bermanfaat sekali, karena disaat pandemi webinar semakin banyak dilaksanakan
Chrisye;webinar dan pelatihan online sangat membantu saya karena saya bisa mendapatkan ilmu baru tanpa harus keluar rumah
Nabila Hasna;Sedikit memberikan dampak yang baik, memberi semangat.
Rizqi Amalia Utami;Setuju, webinar atau pelatihan yang dilaksanakan selama masa pandemi memberikan dampak yang baik untuk proses pembelajaran jarak jauh, bukan berarti kita di rumah tidak bisa melakukan aktivitas yang bermanfaat. Kita bisa produktif dan mengembangkan kemampuan diri, meski hanya berada di rumah saja. Proses pembelajaran jarak jauh , akan terasa menyenangkan apabila kita bersemangat untuk mengikuti kegiatan kegiatan pengembangan diri, jadi di rumah tidak ada waktu yang terbuang sia -sia.
Adinda Kasih Salsabilah;ya ada dampak tidak terlalu significant
Lelly Febriyanti;selama perkuliahan online saya sudah mengikuti beberapa webinar dan semuanya bermanfaat dan juga gratis
Dita Cahayatiningsih;Bisa saja berpengeruh bagi sebagian orang. Namun, pasti ada ketidakmaksimalan dalam proses tersebut. 
Noor Anisa Amelia;Ya memberikan dampak, untuk mengisi kekosongan waktu dengan mengikuti webinar kita dapat lebih meningkatkan skill-skill dan mendapat ilmu-ilmu yang bermanfaat.
Riska;Dengan adanya webinar, dapat sedikit membantu dalam proses pjj ini
hana;Cukup berpengaruh
Cahya;Menurut saya rata-rata hanya ingin mengejar sertifikat. Jadi tidak terlalu berdampak apapun pada proses belajar.
Marni;Ya
Asep Muslihat;lumayan
Bekti widodo;Bagi saya cukup memberikan dampak. Mahasiswa bisa mengeskplor lebih luas secara otodidak
Rohman Mulyadi;Sangat berdampak positif.
N.Mardiyah;Memberikan semangat dan tips pembelajaran online
Herlin Sundari;Berdampak pada proses, tapi belum berdampak baik pada hasil
Mulyani. S.Pd;Lumayan cukup membantu karena untuk orang awam seperti kami dalam pembelajaran daring yang mungkin metodenya membosankan jadi dengan adanya webinar pelatihan yang sudah dilaksanakan cukup membantu apalagi dalam mempersiapkan media dan metode pembelajaran 
Wartono;memberikan dampak sangat baik karna kita bisa belajar cara menggunakan pasilitas tehnologi dalam belaja mengajar anak didik kita
Yosa Halim Prayogi;sangat memberikan dampak yang baik dan menjadi referensi untuk PJJ
Dini Alisari;Ya berdampak
Evita Wulansari;Ada banyak manfaat yang dapat membantu dalam proses pembelajaran jarak jauh
Muh. Ruli Gunawan ;Tergantung dari jenis dan konsep yang dibawakam dalam webinar. Tetapi kebanyakan webinar hanya fokus pada komunikasi satu arah dan untuk komunikasi yang menimbulkan timbal balik cukup minim.
Mulyani;Menurut saya tidak karena jika berada dirumah akan kesulitan untuk mengikuti kegiatan webinar
Nufa Suryana ;Ya
Susanti;Iya sangat baik
Yuli Eenawati;Sangat berdampak baik
Peni Trihastuti;Sedikit membantu meskipun sebenarnya kurang efektif
Imam Nashokha;Ya.. Dampak nya sangat baik
Sri Juhariah, S.Pd ;Sy belum peenah ikut webinar...pernah daftar tp saat pelaksanaan jaringan internet kurang bagus
ERNA SOFIA NENGSIH;Ada dampaknya, seperti pembuatan media pembelajaran online
Mmmm;Sangat berdampak bagi peningkatan kompetensi dan keterampilan bagi guru dalam menyajikan pembelajaran berbasis online. Selain itu, semakin banyak guru mengikuti kegiatan webinar atau pelatihan, semakin banyak pula referensi guru dalam memilih metode, moda, dan platform mana yang sesuai untuk pembelajaran dan bagi anak didiknya.
Rohman Nurdin;Ya
Widawati;Sangat bagusKarena banyak ilmu tentang  metode dan cara efektif belajar online 
DEWI MARLINDA, S.Pd.;Dampak
Argi Fathurachim;Iya sangat baik karena dengan webinar guru dan siswa bisa memahami pembelajaran secara online, karena selama tatap muka belum ada pelatihan atau workshop tentang pembelajaran jarak jauh (online)
RIGAN DIAZ ALGIFARI;Ya ada . siswa jadi tahu kegunaan gadget  tidak hanya untuk main game
RENALDI RAMADHAN;Lumayan membantu dan berdampak baik
Esa Saputra;Iyaa
Giva Nur Aulia;Tidak sih menurut saya sama saja hanya saja dilakukan secara virtual
Dila Margaretha;Kurang sreg dikarenakan suka lag
Novitasari;webinar di masa pandemi ini ternyata memberikan pengaruh yang baik bagi saya,dampak dari pjj memberikan pengaruh yang baik dan banyak ilmu saya dapatkan selama pandemi ini 
Sofyan Hidayat;Ya, karena dengan webinar adalah salah satu cara mengisi waktu dengan pengetahuan yang bermanfaat
Septy;Menurut saya itu langkah yang baik dan bagus karena dapat belajar mengenai beberapa hal yang tidak bisa dilaksanakan secara tatap muka, tapi itu semua tergantung sinyal
LILI SUMARNI,S.Pd;Iya, karna kita menjadi ada gambaran 
Ayu Noor Aeni;Bermanfaat untuk mengisi waktu luang
RIDA MANARUZZAMAN ;Ya, khusunya yang bertema tentang teknologi
Suci Sukmayanti Putri;Webinar jenis tertentu yang terkait dengan model ataupun media yang bisa digunakan dalam pembelajaran online akan memberikan dampak positif. Kami bisa memperoleh hal baru, metode baru ataupun belajar membuat, menggunakan media pembelajaran.
Rafi Ikhwanudien Muhammad ;Ya, jadi lebih mudah mengikuti acara atau seminar walaupun jaraknya jauh
Julinda Ika Saputri;Alhamdulilah cukup efektif
MURODI, S.Pd.I;Iya
Dhyana Wijayanti;Sangat baik, bagus dan bermanfaat karena walaupun kita berada dirumah masing masing dan kegiatan kita mungkin hanya sebatas kbm Daring, tetapi dengan adanya webinar kita bisa mendapatkan ilmu tambahan
Fauziah Ru'fatul Ulya Karimah;dampaknya cukup baik, yaitu bisa mendengar pemateri sambil melakukan aktivitas lainnya, lebih gampang mencari webinar sesuai apa yang diinginkan
JUSTIN DRILEN ABEDNEGO;Sedikit banyaknya sangat membatu namun kurang maksimal
Pancari Cahaya;Ya dampak yang signifikan setidaknya membekali guru untuk memberikan variasi pengajaran 
Kwok Mei Foeng;memberikan dampak nya karna jadi paham setelah mendapat pelatihan
Dian Markuci;Ya
Rodi Saroyo, S.Pd.;ya  ..pelatihan ddapatpt menambah pengetahuan
Ratih Era Setianingrum;Baik
Rini Rachmawati;Kurang baik
Andriani;Sangat bagus dan membantu meningkatkan skill baik bagi guru maupun siswa.
Herlanto;tidak
Agung Hendro Pradityo;Ya, memberikan variasi metode dalam penyampaian pembelajaran
Elisabeth Puspa Wardani;Ya
Lylis Bahriani;Lumayan berdampak
SUHERNI;Sangat berdampak, memberikan inspirasi dan ilmu baru untuk pengembangan metode pembelajaran
Katarina Endang Rejeki;Jika itu adalah hal yang belum pernah saya pelajari, maka akan menjadi sangat berguna
Rustam Herman Kesuma;Cukup baik untuk yang serius ingin memperoleh ilmu. 
LUSIA NGATILAH;Cukup mendukung
Maria Magdalena Dwi R;Menambah pengetahuan
Yetty Ida Rohani Tobing;Webinar sangat memberikan dampak, karena memperlengkapi guru dengan keterampilan yang dibutuhkan agar PJJ dapat berjalan dengan baik
Retno Puspitasari;Ya
Dahlia afissiya shalma;Ya
Elisabet Ona;Cukup 
Aprillia Setiawan;Memberi dampak pada proses pembelajaran jarak walaupun tidak secara keseluruhan.
Christiana Titik Budiati;Cukup Setuju 
Evinora. V. Hutabarat;Ya
Jani Susanti;Cukup membantu dalam proses pengajaran
Irma Okviana Br Ginting Munthe;Memberikan dampak motivasi 
Teresia Wellydar;Belum maksimal digunakan, karena Webinar yang kita ikuti pada dasarnya belum semua diterapkan dlm proses pembelajaran online
Johannes Krismanto;Ada
Lucia Puji Sumarni;Ya
Yanti Karmila;Ada
Christiana Suwarti;Ya
ani karolina;Bagus, menambah pengetahuan dan keterampilan
B. Dyah M.;Baik
Y. Noviana Purwaningrum ;Ya karena dapat menambah wawasan
MAGDALENA SIMBOLON;Iya
Emilda Manuntungi;Ya, dengan adanya webinar atau pelatihan, dapat menambah wawasan
COSMAS BUTSI L.;Ya
Sumardiyah;YA SEHINGGA DARI PELATIHAN SEMAKIN BANYAK KEMAMPUAN YANG INOVATIF YANG MEMBANTU PROSES PEMBELAJARAN JARAK JAUH
sarwedi;Cukup membantu meskipun kadang prakteknya jauh dari ekspetasi
Kusnaeni;Sangat menolong 
Nur Hidayat;Bagi saya webinar atau pelatihan memberikan dampak yang bagus karena banyak mendapatkan pengetahuan, pengalaman dan ilmu terutama pada pelatihan untuk pembuatan media belajar jarak jauh.
Fahriah;Cukup membantu menambah wawasan. Ruang dan waktu lebih fleksibel
Ida siagian;Baik 
Larasati Prihantari;tidak begituq
M.Budi mulyanto;Baik
Faishal Hanif;Sedikit
Yusup Supyani;Iya sangat memberikan dampak yang positif untuk guru menyiapkan media dan lain sebagainya
Septian;Cukup baik materi yang diajarkan tetapi diterapkan dipembalajaran siswa sudah mulai jenuh dengan pembelajaran macam apapun
Ilyas;Alhamdulillah memberikan dampak, dari segi kreativitas kami sebagai guru untuk membuat media pembelajaran. Dan mengoptimalkan pembelajaran online agar tidak membuat jenuh peserta didik
ILMA AMALIA;Memiliki dampak positif karena dapat mengenal pembelajaran dan pengajaran asinkron.
Rofi Rosydi, S.Pd;Ya, semakin memiliki banyak referensi dalam memberikan metode dalam memaksimalkan pembelajaran siswa
Dias saputri;Pelatihan webiner sangat baik dan di minati siswa
Suwanto;banya manfaat dari webinar tetapi tidak semua bisa diterapkan dalam pembelajaran jarak jauh
Chatarina Dewi L;Sangat membantu sekali mempermudah guru dalam kondisi saat ini
Sudarsono;Untuk pembelajaran iya ada manfaatnya tp untuk keaktifan siswa kurang
Achmad fadil baihaki;Ya kalau pada diri saja jelas ada dampaknya, khusunya bagaimana seorang guru mengelola pembelajaran online. Tetapi itu tidak bisa memberikan dampak pada anak, bisa prestasi secara kognitifnya baik, tetapi karakter, sikap, psikomotoriknya  anak belum tentu baik.
Clara Hardhini;webinar membantu kami untuk memahami apa yang harus di lakukan
D. Irga B. Naufal Fakhri ;Tentunya membantu dalam berexplorasi.
Andi Husnul Khatimah;ya sangat berdampak baik
Fanny Shafira Damayanti;Kadang membantu kadang sulit dilaksanakan karena materi webinar terlalu banyak
Nur Ummul Annisa;Penggunaan youtube dan video conference seperti zoom telah cukup baik
N Muthiah S;Aplikasi sikola yang di sediakan oleh Unhas sangat membantu dalam proses belajar mengajar karena sudah tersedia materi tugas dan bahkan untuk melakukan ujian juga bisa 
Nur Azwa;Dengan adanya elearning dapat mempermudah dosen dan mahasiswa dalam menyampaikan dann materi
ARRIZAL FURQONA GIFARY;Webside tersebut bahkan sangat membantu disaat offline lalu
M. Asyraf Mubarak Sudarmin;Karna cukup mempermudah
Sri Ayu Mauliana;E-learning atau website tempat belajar kebih mempermudah dalam proses belajar online ini
Maulydia ;bisa di akses secara online
Fadila Prima Putri;Karena masih kurang buku di web perpus
Tegar Nova Silviana;Tanggapan saya yah jujur
Wahyu kurnia sari;Kalau saya tidak karena kita tetap tidak bisa mengaksesnya secara online 
Satriani;cukup untuk mempermudah proses dalam membuat tugas
Sukhriatun Rudiah;Untuk e-learning cukup membantu, namun kapasitas pengiriman data terbatas 
Lu'lu Al-Maknun Musytari ;Saya setuju dengan adanya  e learning  yang telah disediakan oleh kampus dapat membantu proses belajar seperti menjadi platform komunikasi antara mahasiswa dan dosen seperti mendownload modul pembelajaran serta sebagai media mengumpulkan tugas
Andi Nurfadillah Ali;Saya setuju dengan adanya  e learning  yang telah disediakan oleh kampus dapat membantu proses belajar seperti menjadi platform komunikasi antara mahasiswa dan dosen seperti mendownload modul pembelajaran serta sebagai media mengumpulkan tugas
Makhdaniar Madhani At thaharah;Cukup setuju saja karena beberapa buku yang biasa saya cari tidak ada
Syamsuddin;Karena lebih mudah
Desmah Fajriani;Untuk e-learning kampus saya sendiri sebenarnya cukup bagus. Tapi kelas saya tidak pernah ada dosen yang memanfaatkannya. Kebanyakan menggunakan aplikasi luar kampus. Untuk website perpustakaannya cukup rumit buat diakses. Jadi saya lebih sering menggunakan situs pencarian jurnal.
Titi ayu astuti;Menurut saya mempermudah karena semua materi pelajaran yang dibutuhkan bisa diakses di sistem e-learning
Muh. Arham;kalau saya pribadi cukup setuju, dengan sistem yang di terapkan oleh kampus saya juga mudah untuk di pahami, sehingga tidak terlalu sulit bagi sebahagian orang yang cukup gaptek.
Nuha Hanifatul Khonsa';Banyak siswa belum di jangkau oleh jaringan internet
Fitri cahaya;Lebih memudahkan orang orang dari luar bandung
Gany Berdu Sura;saya setuju, kita dapat mencari dengan mudah materi yang di berikan oleh dosen
Kamaruddin. H;e-learning tempat saya belajar cukup mumpuni
Dina Soraya Fauziah;Mempermudah karena dengan adanya e-learning pembelajaran menjadi terdokumentasikan jadi saat kita tiba tiba membutuhkan materi minggu lalu kita dapat mengaksesnya.
Chandra Kirana Poetra;Cukup sulit mengakses
Kaka Kamaludin;Sangat mempermudah karena lebih praktis
Ilham Muhammad Ariq;Kurang dimanfaatkan
Putri Nella;Cukup setuju walaupun terkadang website down,atau waktu uts/uas yang kurang dari seharusnya menjadikan buruburu dalam meng upload file
Ida fatrini putri;Tidak mendukung sama sekali dan tidak tahu cara pakainya
hanfi hermawan;Setuju
Bakti Qilan Mufid;Belum menggunakan
Zavira Nurfalita;Cukup bagus aja
Murnia Lestari;Menurut saya sistem e learning kampus kami memberikan kemudahan karena walaupun kami telat mengumpulkan tugas masih bisa diinput hhe.
Fatmawati;karena lebih efektif
Fitria Dwi Ningsih;Tidak selalu digunakan, tetapi cukup membantu.
Dyning Aida Batrishya;Menurut saya, cukup mempermudah dikarenakan banyak akses untuk menjalankan sistem tersebut.
Sitti Arabia;Ya sangat membantu untukwadah memberikan bahan ajar serta pengumpulannya
A. Meriam Residen;Peserta didik memanfaatkan fasilitas yang ada dari perpustakaan sekolah untuk menunjang tugas-tugas sekolahnya.
Kasmawati Zainuddin;Pada website perpustakaan cukup baik sebenarnya hanya saja ada beberapa buku yang tidak ada
Zakiyah;sangat membantu
Nurul Maghfirah Aras;Iya sangat membantu
Nurul wafika;Tergantung jaringan
Fahira, S.Pd;Karena memudahkan mendapat informasi yang dibutuhkan
A.IDHAM FITRAH AL MADANI;Tidak ada buku yang sesuai dengan mata kuliah yang diajarkan
A. Mukramin Yusuf;Kurang tau jg 
Rezky Ananda;Cuku bagus untuk proses pembelajaran
Nurul A’in ;Keberadaan website perpustakaan mungkin cukup membantu proses pembelajaran, meski tidak sepenuhnya menjawab kendala dalam pembelajaran online.
Nur Hikma;tidak
Andi Muh Fauzan Razak;Sudah sangat bagus
Andi Indri Pratiwi;Adanya website perpustakaan resmi memudahkan saya mencari materi-materi tambahan untuk mata kuliah saat mengerjakan tugas
Nurul Fitri;"Sangat membantu.
Karena,masa sekarang banyak orang yang menghabiskan waktu mereka bermain gadget.Jadi,hal itu tidak menyusahkan."
Anissatul Muazzirah;Sistem e-learning dapat mempermudah sistem beljar dan mengajar dalam metode jarak jauh.
Sitti Aisyah;Bisa memberikan literasi atau referensi dalam pembelajaran
Habib Abdul Rasyid;Lumayan walaupun masih banyak kekurangan
Janjalaneh;Karena tidak semua daerah mempunyai perpustakaan
Nurul Istikhomah;Tidak ada
MUH. RUSMAN;Hal tersebut mempermudah ketika saya ingin mencari tugas yang diberikan oleh dosen
Biutipul;Sejauh ini hal itu cukup memberikan kemudahan dalam pembelajaran
Suciyani;Santai relax
Ainun Nurul Asa;Cukup memudahkan dalam mencari materi pembelajaran 
Annisa muliani ilmi;Karena kita bisa belajar dimana saja
A. St. Ardiyanti Umar;karena adanya beberapa referensi yang disediakan secara online ini juga dapat mempermudah dalam proses belajar karena adanya masa pandemi yang membatasi tiap individu maupun kelompok dalam bergerak maupun saling berbagi ilmu satu sama lain
Aya;Cukup membantu 
Difa Al Fansha;Untuk Kualitas diberikan dikampus sudah baik
Aulyardha Anindita ;karena saya tidak menggunakan fasilitas tersebut 
Kasdiana;Bagi Guru cukup mudah tetapi bagi peserta didik masih tergolong rumit karena pengetahuan IT yang masih kurang.
Liyana majdah rahma;Belum tersedia sarana dan prasarana yang memadai
Nur Aina;Dulu pernah e-learning, dan biasa error
